bin_start,bin_end,count,pct
0,10,44,0.0541
10,20,125,0.1536
20,30,150,0.1843
30,40,161,0.1978
40,50,109,0.1339
50,60,79,0.0971
60,70,43,0.0528
70,80,40,0.0491
80,90,21,0.0258
90,100,13,0.016
100,110,9,0.0111
110,120,11,0.0135
120,130,2,0.0025
130,140,4,0.0049
140,150,2,0.0025
150,160,1,0.0012
160,170,0,0.0
