sim_id,outcome,trades_taken,final_equity,peak_equity,max_drawdown,max_win_streak,max_loss_streak
722,failed,100,25148.25,26270.0,1121.75,5,8
723,passed,30,26674.5,26674.5,212.75,9,3
724,failed,10,23919.0,25000.0,1081.0,1,7
725,passed,28,26574.5,26574.5,857.5,6,10
726,failed,30,24372.5,25375.0,1002.5,5,4
727,failed,55,25214.25,26239.75,1025.5,5,8
728,failed,9,23996.5,25014.0,1017.5,2,6
729,failed,13,24155.25,25550.25,1395.0,3,5
730,failed,5,23977.5,25000.0,1022.5,0,5
731,passed,48,26621.75,26621.75,738.0,6,4
732,failed,15,24052.0,25087.0,1035.0,3,5
733,failed,21,25370.0,26388.5,1018.5,3,4
734,passed,42,26599.25,26599.25,549.0,4,3
735,failed,8,23712.25,25000.0,1287.75,1,5
736,passed,34,26750.25,26750.25,396.5,4,3
737,passed,30,26642.0,26642.0,595.5,5,5
738,failed,39,24291.5,25363.0,1071.5,3,4
739,passed,35,26509.5,26509.5,511.0,6,4
740,failed,64,25301.75,26497.25,1195.5,7,6
741,failed,138,25018.25,26063.75,1045.5,5,6
742,failed,12,25343.75,26380.25,1036.5,5,6
743,failed,34,24546.25,25619.0,1072.75,8,4
744,failed,13,24368.75,25406.25,1037.5,2,4
745,passed,57,27658.75,27658.75,695.0,7,5
746,passed,33,26715.75,26715.75,461.75,7,5
747,failed,15,24056.75,25195.5,1138.75,1,11
748,failed,7,23993.0,25000.0,1007.0,1,3
749,passed,19,26522.25,26522.25,292.0,3,2
750,failed,8,24633.0,25667.5,1034.5,3,4
751,failed,23,24293.75,25297.75,1004.0,7,8
752,failed,29,25162.25,26305.75,1143.5,3,6
753,failed,6,24601.5,25709.5,1108.0,2,4
754,passed,24,26598.0,26598.0,139.0,9,2
755,passed,83,26584.0,26584.0,892.75,7,4
756,passed,72,26628.0,26628.0,842.25,8,5
757,passed,20,26714.25,26714.25,416.5,3,2
758,failed,15,24405.5,25511.0,1105.5,2,5
759,passed,37,26514.75,26514.75,625.75,6,6
760,passed,32,26531.75,26531.75,418.5,5,8
761,failed,14,24034.5,25322.0,1287.5,5,5
762,passed,28,26674.75,26674.75,843.75,4,4
763,passed,20,26583.75,26583.75,358.25,5,3
764,passed,47,26543.25,26543.25,855.0,5,6
