bin_start,bin_end,count,pct
0,10,49,0.0605
10,20,130,0.1605
20,30,151,0.1864
30,40,142,0.1753
40,50,106,0.1309
50,60,98,0.121
60,70,44,0.0543
70,80,32,0.0395
80,90,22,0.0272
90,100,8,0.0099
100,110,10,0.0123
110,120,5,0.0062
120,130,5,0.0062
130,140,2,0.0025
140,150,2,0.0025
150,160,1,0.0012
160,170,3,0.0037
170,180,0,0.0
