sim_id,outcome,trades_taken,final_equity,peak_equity,max_drawdown,max_win_streak,max_loss_streak
1281,passed,71,26695.5,26695.5,846.0,4,4
1282,failed,46,25395.0,26497.5,1102.5,6,7
1283,passed,32,26748.5,26748.5,822.5,5,4
1284,failed,30,24582.5,25661.5,1079.0,2,5
1285,passed,19,26506.0,26506.0,283.5,8,3
1286,failed,76,25000.5,26147.0,1146.5,4,7
1287,passed,7,26765.0,26765.0,217.0,3,1
1288,failed,65,25443.5,26464.5,1021.0,8,6
1289,failed,33,25120.0,26142.0,1022.0,2,11
1290,failed,29,25095.5,26100.5,1005.0,5,5
1291,failed,15,24669.5,25751.5,1082.0,6,4
1292,failed,39,24004.5,25167.5,1163.0,3,5
1293,failed,22,24904.5,25967.5,1063.0,2,5
1294,failed,64,24649.0,25683.0,1034.0,2,6
1295,passed,36,26568.0,26568.0,323.0,3,3
1296,failed,27,24480.5,25558.0,1077.5,4,5
1297,failed,58,25010.0,26081.0,1071.0,3,6
1298,failed,24,24651.0,25662.0,1011.0,5,7
1299,failed,63,25007.0,26188.5,1181.5,5,4
1300,failed,37,25073.5,26138.0,1064.5,4,6
1301,failed,14,24043.0,25058.0,1015.0,2,4
1302,failed,21,24488.0,25502.5,1014.5,1,10
1303,failed,13,23852.5,25000.0,1147.5,1,3
1304,failed,33,24223.5,25422.5,1199.0,3,7
1305,passed,21,26501.0,26501.0,410.0,4,3
1306,passed,11,26753.5,26753.5,45.5,3,1
1307,failed,21,24449.5,25586.0,1136.5,3,3
1308,failed,18,24348.0,25369.5,1021.5,3,7
1309,failed,6,24243.0,25272.0,1029.0,1,5
1310,failed,43,24203.0,25301.5,1098.5,3,4
1311,passed,45,26514.0,26514.0,659.0,4,5
1312,failed,39,24679.5,25710.5,1031.0,6,8
1313,failed,34,24849.0,25949.5,1100.5,4,4
1314,passed,59,26506.0,26506.0,905.5,9,5
1315,passed,34,26559.5,26559.5,467.5,5,3
1316,failed,7,25133.0,26261.5,1128.5,2,3
1317,passed,47,26555.5,26555.5,364.0,3,4
1318,passed,66,26784.0,26784.0,954.0,4,5
1319,failed,25,23981.5,25026.5,1045.0,3,5
1320,failed,38,24994.5,26016.0,1021.5,3,4
1321,passed,33,26519.5,26519.5,628.5,4,6
1322,failed,45,24751.5,25833.0,1081.5,4,4
1323,passed,56,26583.5,26583.5,701.5,4,3
1324,failed,27,25211.0,26222.0,1011.0,3,6
1325,passed,72,26637.0,26637.0,524.0,6,5
1326,failed,16,24038.5,25216.5,1178.0,3,5
1327,failed,7,24138.0,25217.5,1079.5,1,3
1328,failed,54,25191.0,26198.0,1007.0,4,11
1329,failed,50,24338.0,25613.0,1275.0,3,5
1330,failed,38,24329.5,25405.5,1076.0,3,3
1331,failed,26,24537.0,25627.0,1090.0,4,3
1332,passed,34,26576.5,26576.5,442.5,5,3
1333,passed,9,26506.5,26506.5,246.0,3,2
1334,passed,17,26518.5,26518.5,853.0,3,2
1335,passed,11,26637.0,26637.0,61.0,4,1
1336,passed,30,26521.0,26521.0,354.5,4,3
1337,failed,37,24943.5,25951.5,1008.0,7,4
1338,failed,45,23950.0,25001.5,1051.5,5,7
1339,failed,36,25301.5,26324.5,1023.0,3,9
1340,failed,48,24935.5,26064.0,1128.5,6,5
1341,failed,44,24217.0,25264.5,1047.5,3,4
1342,passed,44,26689.0,26689.0,687.0,7,6
1343,failed,22,24039.5,25107.0,1067.5,6,4
1344,passed,26,27469.0,27469.0,678.5,4,5
1345,passed,36,26606.5,26606.5,686.5,3,4
1346,passed,73,26539.5,26539.5,870.5,4,6
1347,passed,33,26574.0,26574.0,648.5,8,2
1348,passed,36,26748.5,26748.5,870.5,9,4
1349,passed,26,26582.0,26582.0,329.0,2,5
1350,failed,43,24141.5,25336.0,1194.5,4,6
1351,passed,32,26555.5,26555.5,986.0,3,3
1352,failed,45,24659.5,25728.5,1069.0,6,8
1353,failed,47,25311.5,26341.5,1030.0,6,10
1354,failed,78,25250.0,26387.0,1137.0,7,5
1355,passed,21,26693.5,26693.5,285.5,5,2
1356,passed,16,26712.5,26712.5,450.5,4,3
1357,failed,15,24472.0,25481.5,1009.5,2,4
1358,passed,26,26640.5,26640.5,927.0,3,5
1359,passed,7,26616.0,26616.0,148.5,5,1
1360,passed,58,26627.0,26627.0,429.5,4,4
1361,failed,75,24450.0,25456.5,1006.5,6,7
1362,failed,14,24590.0,25629.0,1039.0,2,4
1363,passed,55,26561.0,26561.0,645.0,6,4
1364,failed,17,24362.5,25385.0,1022.5,3,4
1365,passed,45,26645.0,26645.0,667.5,5,4
1366,passed,17,26878.0,26878.0,415.5,4,3
1367,failed,51,24218.0,25333.5,1115.5,5,8
1368,failed,20,23735.0,25000.0,1265.0,3,4
1369,failed,39,24468.0,25611.5,1143.5,3,5
1370,passed,40,26582.5,26582.5,342.0,3,3
1371,failed,35,24687.0,25743.0,1056.0,11,6
1372,failed,63,25317.0,26466.0,1149.0,4,6
1373,failed,39,24034.0,25034.0,1000.0,4,5
1374,failed,28,23971.5,25116.5,1145.0,5,4
1375,failed,45,23855.5,25175.5,1320.0,3,4
1376,passed,22,26621.0,26621.0,188.0,3,4
1377,failed,30,25128.5,26333.5,1205.0,3,5
1378,passed,13,26560.5,26560.5,268.0,3,2
1379,failed,16,24080.5,25175.5,1095.0,3,3
1380,failed,21,23980.5,25219.5,1239.0,3,3
1381,failed,35,24784.5,25831.5,1047.0,5,4
1382,passed,25,26820.0,26820.0,507.5,6,4
1383,failed,35,25090.0,26175.5,1085.5,2,6
1384,passed,166,26508.5,26508.5,924.0,6,5
1385,failed,7,24034.0,25119.5,1085.5,1,6
1386,failed,34,23930.5,25114.5,1184.0,3,9
1387,failed,9,24337.0,25550.0,1213.0,2,5
1388,failed,57,24527.0,25685.0,1158.0,3,4
1389,failed,38,24008.5,25147.0,1138.5,4,10
1390,failed,13,24848.5,26002.5,1154.0,6,7
1391,failed,33,24530.5,25725.5,1195.0,5,6
1392,failed,17,24658.0,25863.5,1205.5,8,5
1393,failed,25,24098.5,25213.5,1115.0,3,4
1394,failed,45,24076.5,25082.0,1005.5,2,8
1395,passed,110,26587.5,26587.5,680.0,3,6
1396,passed,41,26735.5,26735.5,635.0,5,4
1397,passed,8,26532.5,26532.5,37.0,4,1
1398,passed,59,26507.0,26507.0,803.0,6,5
1399,failed,21,25109.5,26212.0,1102.5,3,3
1400,failed,68,25085.5,26255.5,1170.0,3,5
1401,failed,37,24410.5,25496.0,1085.5,3,5
1402,failed,16,24494.0,25643.0,1149.0,2,4
1403,failed,33,24605.0,25841.5,1236.5,3,4
1404,passed,16,26501.5,26501.5,50.5,6,2
1405,passed,65,26615.5,26615.5,853.0,4,5
