entry_time,exit_time,direction,contracts,position_size,entry_price,exit_price,stop_loss,take_profit,pnl_ticks,pnl_points,pnl_dollars,commission,slippage_cost,net_pnl,exit_reason,strategy_type
2019-01-02T09:50:00-05:00,2019-01-02T10:50:00-05:00,long,1,1.0,6257.75,6324.5,6205.5,6324.5,267.0,66.75,133.5,4.64,1.0,127.86,Take Profit,ema50_breakout
2019-01-03T09:50:00-05:00,2019-01-03T09:50:00-05:00,long,1,1.0,6250.75,6258.0,6258.0,6320.125,29.0,7.25,14.5,4.64,1.0,8.86,Stop Loss,ema50_breakout
2019-01-04T09:50:00-05:00,2019-01-04T10:30:00-05:00,long,1,1.0,6292.75,6373.0,6241.5,6373.0,321.0,80.25,160.5,4.64,1.0,154.86,Take Profit,ema50_breakout
2019-01-07T09:50:00-05:00,2019-01-07T09:50:00-05:00,long,1,1.0,6450.75,6425.0,6425.0,6497.625,-103.0,-25.75,-51.5,4.64,1.0,-57.14,Stop Loss,ema50_breakout
2019-01-08T09:50:00-05:00,2019-01-08T09:50:00-05:00,long,1,1.0,6557.25,6561.25,6561.25,6594.75,16.0,4.0,8.0,4.64,1.0,2.36,Stop Loss,ema50_breakout
2019-01-09T09:50:00-05:00,2019-01-09T09:50:00-05:00,short,1,1.0,6585.0,6605.75,6605.75,6529.875,-83.0,-20.75,-41.5,4.64,1.0,-47.14,Stop Loss,ema50_breakout
2019-01-10T09:50:00-05:00,2019-01-10T10:20:00-05:00,short,1,1.0,6539.75,6570.0,6570.0,6497.75,-121.0,-30.25,-60.5,4.64,1.0,-66.14,Stop Loss,ema50_breakout
2019-01-11T09:50:00-05:00,2019-01-11T10:05:00-05:00,short,1,1.0,6583.75,6600.25,6600.25,6547.75,-66.0,-16.5,-33.0,4.64,1.0,-38.64,Stop Loss,ema50_breakout
2019-01-14T09:50:00-05:00,2019-01-14T10:15:00-05:00,short,1,1.0,6536.5,6553.0,6553.0,6489.25,-66.0,-16.5,-33.0,4.64,1.0,-38.64,Stop Loss,ema50_breakout
2019-01-15T09:50:00-05:00,2019-01-15T15:50:00-05:00,long,1,1.0,6635.5,6675.5,6576.0,6723.625,160.0,40.0,80.0,4.64,1.0,74.36,End of Day,ema50_breakout
2019-01-16T09:50:00-05:00,2019-01-16T10:40:00-05:00,long,1,1.0,6725.5,6685.75,6685.75,6770.875,-159.0,-39.75,-79.5,4.64,1.0,-85.14,Stop Loss,ema50_breakout
2019-01-17T09:50:00-05:00,2019-01-17T14:35:00-05:00,long,1,1.0,6668.25,6707.625,6644.25,6707.625,157.5,39.38,78.75,4.64,1.0,73.11,Take Profit,ema50_breakout
2019-01-18T09:50:00-05:00,2019-01-18T09:50:00-05:00,long,1,1.0,6755.5,6749.5,6749.5,6810.625,-24.0,-6.0,-12.0,4.64,1.0,-17.64,Stop Loss,ema50_breakout
