entry_time,exit_time,direction,contracts,position_size,entry_price,exit_price,stop_loss,take_profit,pnl_ticks,pnl_points,pnl_dollars,commission,slippage_cost,net_pnl,exit_reason,strategy_type
2017-01-03T09:50:00-05:00,2017-01-03T10:00:00-05:00,short,1,1.0,4896.25,4908.0,4908.0,4862.875,-47.0,-11.75,-23.5,4.64,1.0,-29.14,Stop Loss,ema50_breakout
2017-01-04T09:50:00-05:00,2017-01-04T15:50:00-05:00,long,1,1.0,4928.25,4934.25,4912.0,4960.875,24.0,6.0,12.0,4.64,1.0,6.36,End of Day,ema50_breakout
2017-01-05T09:50:00-05:00,2017-01-05T15:50:00-05:00,long,1,1.0,4952.5,4961.5,4929.5,4988.5,36.0,9.0,18.0,4.64,1.0,12.36,End of Day,ema50_breakout
2017-01-06T09:50:00-05:00,2017-01-06T09:55:00-05:00,short,1,1.0,4963.75,4971.75,4971.75,4934.875,-32.0,-8.0,-16.0,4.64,1.0,-21.64,Stop Loss,ema50_breakout
2017-01-09T09:50:00-05:00,2017-01-09T10:05:00-05:00,long,1,1.0,5014.0,5004.75,5004.75,5033.125,-37.0,-9.25,-18.5,4.64,1.0,-24.14,Stop Loss,ema50_breakout
2017-01-10T09:50:00-05:00,2017-01-10T10:55:00-05:00,short,1,1.0,5021.25,5028.0,5028.0,5001.75,-27.0,-6.75,-13.5,4.64,1.0,-19.14,Stop Loss,ema50_breakout
2017-01-11T09:50:00-05:00,2017-01-11T10:25:00-05:00,short,1,1.0,5031.75,5037.75,5037.75,5018.625,-24.0,-6.0,-12.0,4.64,1.0,-17.64,Stop Loss,ema50_breakout
2017-01-12T09:50:00-05:00,2017-01-12T10:15:00-05:00,short,1,1.0,5019.0,4996.5,5029.25,4996.5,90.0,22.5,45.0,4.64,1.0,39.36,Take Profit,ema50_breakout
2017-01-13T09:50:00-05:00,2017-01-13T15:50:00-05:00,long,1,1.0,5056.75,5054.5,5040.0,5078.875,-9.0,-2.25,-4.5,4.64,1.0,-10.14,End of Day,ema50_breakout
2017-01-16T09:50:00-05:00,2017-01-16T09:55:00-05:00,short,1,1.0,5052.75,5050.875,5054.0,5050.875,7.5,1.88,3.75,4.64,1.0,-1.89,Take Profit,ema50_breakout
2017-01-17T09:50:00-05:00,2017-01-17T10:10:00-05:00,short,1,1.0,5032.5,5043.25,5043.25,5009.25,-43.0,-10.75,-21.5,4.64,1.0,-27.14,Stop Loss,ema50_breakout
2017-01-18T09:50:00-05:00,2017-01-18T11:55:00-05:00,long,1,1.0,5048.5,5037.25,5037.25,5071.0,-45.0,-11.25,-22.5,4.64,1.0,-28.14,Stop Loss,ema50_breakout
2017-01-19T09:50:00-05:00,2017-01-19T10:15:00-05:00,long,1,1.0,5067.25,5055.5,5055.5,5088.25,-47.0,-11.75,-23.5,4.64,1.0,-29.14,Stop Loss,ema50_breakout
2017-01-20T09:50:00-05:00,2017-01-20T10:20:00-05:00,long,1,1.0,5077.75,5066.0,5066.0,5103.25,-47.0,-11.75,-23.5,4.64,1.0,-29.14,Stop Loss,ema50_breakout
2017-01-23T09:50:00-05:00,2017-01-23T10:10:00-05:00,long,1,1.0,5065.5,5049.5,5049.5,5095.875,-64.0,-16.0,-32.0,4.64,1.0,-37.64,Stop Loss,ema50_breakout
