entry_time,exit_time,direction,contracts,position_size,entry_price,exit_price,stop_loss,take_profit,pnl_ticks,pnl_points,pnl_dollars,commission,slippage_cost,net_pnl,exit_reason,strategy_type
2018-01-02T09:50:00-05:00,2018-01-02T15:50:00-05:00,long,1,1.0,6468.5,6520.25,6426.25,6523.25,207.0,51.75,103.5,4.64,1.0,97.86,End of Day,ema50_breakout
2018-01-03T09:50:00-05:00,2018-01-03T12:45:00-05:00,long,1,1.0,6548.5,6584.125,6526.0,6584.125,142.5,35.62,71.25,4.64,1.0,65.61,Take Profit,ema50_breakout
2018-01-04T09:50:00-05:00,2018-01-04T15:50:00-05:00,short,1,1.0,6593.25,6598.5,6615.75,6555.0,-21.0,-5.25,-10.5,4.64,1.0,-16.14,End of Day,ema50_breakout
2018-01-05T09:50:00-05:00,2018-01-05T10:15:00-05:00,short,1,1.0,6621.25,6631.75,6631.75,6595.0,-42.0,-10.5,-21.0,4.64,1.0,-26.64,Stop Loss,ema50_breakout
2018-01-08T09:50:00-05:00,2018-01-08T15:50:00-05:00,long,1,1.0,6672.0,6685.75,6658.75,6692.625,55.0,13.75,27.5,4.64,1.0,21.86,End of Day,ema50_breakout
2018-01-09T09:50:00-05:00,2018-01-09T13:20:00-05:00,short,1,1.0,6685.5,6704.5,6704.5,6641.25,-76.0,-19.0,-38.0,4.64,1.0,-43.64,Stop Loss,ema50_breakout
2018-01-10T09:50:00-05:00,2018-01-10T09:50:00-05:00,long,1,1.0,6656.5,6647.5,6647.5,6688.75,-36.0,-9.0,-18.0,4.64,1.0,-23.64,Stop Loss,ema50_breakout
2018-01-11T09:50:00-05:00,2018-01-11T10:00:00-05:00,short,1,1.0,6681.5,6689.75,6689.75,6662.0,-33.0,-8.25,-16.5,4.64,1.0,-22.14,Stop Loss,ema50_breakout
2018-01-12T09:50:00-05:00,2018-01-12T10:00:00-05:00,short,1,1.0,6722.75,6727.5,6727.5,6686.375,-19.0,-4.75,-9.5,4.64,1.0,-15.14,Stop Loss,ema50_breakout
2018-01-15T09:50:00-05:00,2018-01-15T10:10:00-05:00,short,1,1.0,6777.0,6780.75,6780.75,6768.75,-15.0,-3.75,-7.5,4.64,1.0,-13.14,Stop Loss,ema50_breakout
2018-01-16T09:50:00-05:00,2018-01-16T10:35:00-05:00,long,1,1.0,6840.25,6809.25,6809.25,6886.0,-124.0,-31.0,-62.0,4.64,1.0,-67.64,Stop Loss,ema50_breakout
2018-01-17T09:50:00-05:00,2018-01-17T11:05:00-05:00,short,1,1.0,6758.75,6782.25,6782.25,6720.875,-94.0,-23.5,-47.0,4.64,1.0,-52.64,Stop Loss,ema50_breakout
2018-01-18T09:50:00-05:00,2018-01-18T10:00:00-05:00,long,1,1.0,6818.25,6809.0,6809.0,6844.5,-37.0,-9.25,-18.5,4.64,1.0,-24.14,Stop Loss,ema50_breakout
2018-01-19T09:50:00-05:00,2018-01-19T09:50:00-05:00,long,1,1.0,6849.25,6839.5,6839.5,6875.5,-39.0,-9.75,-19.5,4.64,1.0,-25.14,Stop Loss,ema50_breakout
2018-01-22T09:50:00-05:00,2018-01-22T10:15:00-05:00,long,1,1.0,6851.5,6872.5,6834.25,6872.5,84.0,21.0,42.0,4.64,1.0,36.36,Take Profit,ema50_breakout
2018-01-23T09:50:00-05:00,2018-01-23T15:50:00-05:00,long,1,1.0,6957.75,6973.75,6935.75,6987.0,64.0,16.0,32.0,4.64,1.0,26.36,End of Day,ema50_breakout
2018-01-24T09:50:00-05:00,2018-01-24T10:10:00-05:00,short,1,1.0,6972.75,6993.75,6993.75,6940.5,-84.0,-21.0,-42.0,4.64,1.0,-47.64,Stop Loss,ema50_breakout
2018-01-25T09:50:00-05:00,2018-01-25T09:55:00-05:00,short,1,1.0,6963.25,6929.125,6977.75,6929.125,136.5,34.12,68.25,4.64,1.0,62.61,Take Profit,ema50_breakout
2018-01-26T09:50:00-05:00,2018-01-26T09:55:00-05:00,short,1,1.0,6959.25,6966.0,6966.0,6934.125,-27.0,-6.75,-13.5,4.64,1.0,-19.14,Stop Loss,ema50_breakout
2018-01-29T09:50:00-05:00,2018-01-29T10:35:00-05:00,long,1,1.0,7013.0,6992.5,6992.5,7056.125,-82.0,-20.5,-41.0,4.64,1.0,-46.64,Stop Loss,ema50_breakout
2018-01-30T09:50:00-05:00,2018-01-30T10:55:00-05:00,short,1,1.0,6925.5,6949.75,6949.75,6870.375,-97.0,-24.25,-48.5,4.64,1.0,-54.14,Stop Loss,ema50_breakout
2018-01-31T09:50:00-05:00,2018-01-31T09:55:00-05:00,long,1,1.0,6983.0,6975.5,6975.5,7006.25,-30.0,-7.5,-15.0,4.64,1.0,-20.64,Stop Loss,ema50_breakout
2018-02-01T09:50:00-05:00,2018-02-01T09:55:00-05:00,short,1,1.0,6931.25,6946.0,6946.0,6878.75,-59.0,-14.75,-29.5,4.64,1.0,-35.14,Stop Loss,ema50_breakout
2018-02-02T09:50:00-05:00,2018-02-02T10:00:00-05:00,short,1,1.0,6863.25,6824.25,6895.75,6824.25,156.0,39.0,78.0,4.64,1.0,72.36,Take Profit,ema50_breakout
2018-02-05T09:50:00-05:00,2018-02-05T10:15:00-05:00,long,1,1.0,6724.5,6790.5,6682.5,6790.5,264.0,66.0,132.0,4.64,1.0,126.36,Take Profit,ema50_breakout
2018-02-06T09:50:00-05:00,2018-02-06T15:50:00-05:00,long,1,1.0,6533.5,6647.5,6373.75,6786.25,456.0,114.0,228.0,4.64,1.0,222.36,End of Day,ema50_breakout
2018-02-07T09:50:00-05:00,2018-02-07T11:00:00-05:00,long,1,1.0,6630.25,6697.375,6623.5,6697.375,268.5,67.12,134.25,4.64,1.0,128.61,Take Profit,ema50_breakout
2018-02-08T09:50:00-05:00,2018-02-08T10:50:00-05:00,short,1,1.0,6561.0,6491.625,6604.25,6491.625,277.5,69.38,138.75,4.64,1.0,133.11,Take Profit,ema50_breakout
2018-02-09T09:50:00-05:00,2018-02-09T10:40:00-05:00,long,1,1.0,6389.75,6351.25,6351.25,6491.375,-154.0,-38.5,-77.0,4.64,1.0,-82.64,Stop Loss,ema50_breakout
2018-02-12T09:50:00-05:00,2018-02-12T09:55:00-05:00,long,1,1.0,6497.5,6471.75,6471.75,6561.25,-103.0,-25.75,-51.5,4.64,1.0,-57.14,Stop Loss,ema50_breakout
2018-02-13T09:50:00-05:00,2018-02-13T10:00:00-05:00,short,1,1.0,6491.0,6514.5,6514.5,6433.25,-94.0,-23.5,-47.0,4.64,1.0,-52.64,Stop Loss,ema50_breakout
2018-02-14T09:50:00-05:00,2018-02-14T09:50:00-05:00,short,1,1.0,6551.5,6559.25,6559.25,6487.0,-31.0,-7.75,-15.5,4.64,1.0,-21.14,Stop Loss,ema50_breakout
2018-02-15T09:50:00-05:00,2018-02-15T10:40:00-05:00,long,1,1.0,6738.75,6702.75,6702.75,6796.5,-144.0,-36.0,-72.0,4.64,1.0,-77.64,Stop Loss,ema50_breakout
2018-02-16T09:50:00-05:00,2018-02-16T09:50:00-05:00,short,1,1.0,6816.25,6815.5,6815.5,6767.125,3.0,0.75,1.5,4.64,1.0,-4.14,Stop Loss,ema50_breakout
2018-02-19T09:50:00-05:00,2018-02-19T18:00:00-05:00,short,1,1.0,6787.75,6789.0,6807.25,6748.375,-5.0,-1.25,-2.5,4.64,1.0,-8.14,End of Day,ema50_breakout
2018-02-20T09:50:00-05:00,2018-02-20T15:50:00-05:00,long,1,1.0,6794.0,6791.5,6745.0,6856.25,-10.0,-2.5,-5.0,4.64,1.0,-10.64,End of Day,ema50_breakout
2018-02-21T09:50:00-05:00,2018-02-21T11:30:00-05:00,long,1,1.0,6825.25,6860.875,6806.25,6860.875,142.5,35.62,71.25,4.64,1.0,65.61,Take Profit,ema50_breakout
2018-02-22T09:50:00-05:00,2018-02-22T09:55:00-05:00,long,1,1.0,6804.0,6791.25,6791.25,6847.875,-51.0,-12.75,-25.5,4.64,1.0,-31.14,Stop Loss,ema50_breakout
2018-02-23T09:50:00-05:00,2018-02-23T11:00:00-05:00,short,1,1.0,6807.0,6825.75,6825.75,6776.625,-75.0,-18.75,-37.5,4.64,1.0,-43.14,Stop Loss,ema50_breakout
