entry_time,exit_time,direction,contracts,position_size,entry_price,exit_price,stop_loss,take_profit,pnl_ticks,pnl_points,pnl_dollars,commission,slippage_cost,net_pnl,exit_reason,strategy_type
2024-01-02T09:50:00-05:00,2024-01-02T15:50:00-05:00,short,1,1.0,16737.25,16695.25,16873.5,16579.0,168.0,42.0,84.0,4.64,1.0,78.36,End of Day,ema50_breakout
2024-01-03T09:50:00-05:00,2024-01-03T10:00:00-05:00,short,1,1.0,16630.0,16642.0,16642.0,16539.25,-48.0,-12.0,-24.0,4.64,1.0,-29.64,Stop Loss,ema50_breakout
2024-01-04T09:50:00-05:00,2024-01-04T10:05:00-05:00,short,1,1.0,16459.0,16500.0,16500.0,16373.5,-164.0,-41.0,-82.0,4.64,1.0,-87.64,Stop Loss,ema50_breakout
2024-01-05T09:50:00-05:00,2024-01-05T11:00:00-05:00,long,1,1.0,16486.5,16572.0,16437.25,16572.0,342.0,85.5,171.0,4.64,1.0,165.36,Take Profit,ema50_breakout
2024-01-08T09:50:00-05:00,2024-01-08T12:05:00-05:00,long,1,1.0,16582.0,16691.5,16505.25,16691.5,438.0,109.5,219.0,4.64,1.0,213.36,Take Profit,ema50_breakout
2024-01-09T09:50:00-05:00,2024-01-09T10:05:00-05:00,short,1,1.0,16676.75,16714.5,16714.5,16596.125,-151.0,-37.75,-75.5,4.64,1.0,-81.14,Stop Loss,ema50_breakout
2024-01-10T09:50:00-05:00,2024-01-10T09:50:00-05:00,long,1,1.0,16850.25,16839.5,16839.5,16902.0,-43.0,-10.75,-21.5,4.64,1.0,-27.14,Stop Loss,ema50_breakout
2024-01-11T09:50:00-05:00,2024-01-11T10:05:00-05:00,short,1,1.0,16949.25,16846.875,17043.0,16846.875,409.5,102.38,204.75,4.64,1.0,199.11,Take Profit,ema50_breakout
2024-01-12T09:50:00-05:00,2024-01-12T10:00:00-05:00,long,1,1.0,17030.25,16974.0,16974.0,17127.75,-225.0,-56.25,-112.5,4.64,1.0,-118.14,Stop Loss,ema50_breakout
2024-01-15T09:50:00-05:00,2024-01-15T10:45:00-05:00,short,1,1.0,16944.75,16967.5,16967.5,16921.5,-91.0,-22.75,-45.5,4.64,1.0,-51.14,Stop Loss,ema50_breakout
2024-01-16T09:50:00-05:00,2024-01-16T10:15:00-05:00,short,1,1.0,16874.75,16946.0,16946.0,16761.125,-285.0,-71.25,-142.5,4.64,1.0,-148.14,Stop Loss,ema50_breakout
2024-01-17T09:50:00-05:00,2024-01-17T14:45:00-05:00,short,1,1.0,16729.75,16842.75,16842.75,16565.125,-452.0,-113.0,-226.0,4.64,1.0,-231.64,Stop Loss,ema50_breakout
2024-01-18T09:50:00-05:00,2024-01-18T10:00:00-05:00,long,1,1.0,17027.25,16995.5,16995.5,17116.125,-127.0,-31.75,-63.5,4.64,1.0,-69.14,Stop Loss,ema50_breakout
2024-01-19T09:50:00-05:00,2024-01-19T09:50:00-05:00,short,1,1.0,17185.0,17208.5,17208.5,17121.625,-94.0,-23.5,-47.0,4.64,1.0,-52.64,Stop Loss,ema50_breakout
2024-01-22T09:50:00-05:00,2024-01-22T15:50:00-05:00,short,1,1.0,17531.5,17458.25,17584.75,17392.0,293.0,73.25,146.5,4.64,1.0,140.86,End of Day,ema50_breakout
2024-01-23T09:50:00-05:00,2024-01-23T12:55:00-05:00,short,1,1.0,17471.0,17488.25,17488.25,17352.5,-69.0,-17.25,-34.5,4.64,1.0,-40.14,Stop Loss,ema50_breakout
2024-01-24T09:50:00-05:00,2024-01-24T10:15:00-05:00,short,1,1.0,17654.5,17695.5,17695.5,17567.125,-164.0,-41.0,-82.0,4.64,1.0,-87.64,Stop Loss,ema50_breakout
2024-01-25T09:50:00-05:00,2024-01-25T09:55:00-05:00,long,1,1.0,17693.0,17674.75,17674.75,17772.875,-73.0,-18.25,-36.5,4.64,1.0,-42.14,Stop Loss,ema50_breakout
2024-01-26T09:50:00-05:00,2024-01-26T10:25:00-05:00,short,1,1.0,17545.5,17571.5,17571.5,17480.25,-104.0,-26.0,-52.0,4.64,1.0,-57.64,Stop Loss,ema50_breakout
2024-01-29T09:50:00-05:00,2024-01-29T10:00:00-05:00,long,1,1.0,17567.0,17529.75,17529.75,17649.5,-149.0,-37.25,-74.5,4.64,1.0,-80.14,Stop Loss,ema50_breakout
2024-01-30T09:50:00-05:00,2024-01-30T10:00:00-05:00,short,1,1.0,17670.0,17623.5,17685.0,17623.5,186.0,46.5,93.0,4.64,1.0,87.36,Take Profit,ema50_breakout
2024-01-31T09:50:00-05:00,2024-01-31T14:35:00-05:00,short,1,1.0,17383.0,17426.25,17426.25,17276.125,-173.0,-43.25,-86.5,4.64,1.0,-92.14,Stop Loss,ema50_breakout
2024-02-01T09:50:00-05:00,2024-02-01T10:05:00-05:00,short,1,1.0,17313.25,17337.5,17337.5,17248.0,-97.0,-24.25,-48.5,4.64,1.0,-54.14,Stop Loss,ema50_breakout
2024-02-02T09:50:00-05:00,2024-02-02T12:30:00-05:00,long,1,1.0,17586.0,17754.75,17465.75,17754.75,675.0,168.75,337.5,4.64,1.0,331.86,Take Profit,ema50_breakout
2024-02-05T09:50:00-05:00,2024-02-05T10:15:00-05:00,short,1,1.0,17691.25,17622.25,17737.25,17622.25,276.0,69.0,138.0,4.64,1.0,132.36,Take Profit,ema50_breakout
2024-02-06T09:50:00-05:00,2024-02-06T10:25:00-05:00,short,1,1.0,17698.0,17600.125,17767.5,17600.125,391.5,97.88,195.75,4.64,1.0,190.11,Take Profit,ema50_breakout
2024-02-07T09:50:00-05:00,2024-02-07T09:55:00-05:00,long,1,1.0,17757.25,17722.75,17722.75,17840.125,-138.0,-34.5,-69.0,4.64,1.0,-74.64,Stop Loss,ema50_breakout
